悪漢無頼,53,0.1226
悪声狼藉,45,0.2333
暗箭傷人,43,-0.4070
按図索驥,53,0.5377
晏子高節,38,0.2895
暗香疎影,49,0.0918
按甲休兵,27,-0.0926
安居危思,30,0.1333
晏嬰狐裘,49,0.0102
阿轆轆地,50,-0.0600
阿諛傾奪,48,0.1875
阿爺下頷,40,0.1750
遏悪揚善,46,0.0435
可惜身命,31,0.0806
浅瀬仇波,40,-0.2250
哀鳴啾啾,47,0.0745
哀糸豪竹,35,-0.0143
哀鴻遍野,50,0.0200
阿諛便佞,37,-0.0946
暗雲低迷,42,-0.1667
安居楽業,40,0.3250
安歩当車,27,0.0185
安如泰山,24,-0.1250
暗渡陳倉,46,-0.1087
安常処順,34,0.1765
暗黒沈静,47,-0.0106
暗香浮動,43,-0.0581
鴉巣生鳳,46,-0.1304
愛楊葉児,46,-0.1957
安土重遷,33,0.5000
安分守己,19,-0.1842
暗香蓊葧,48,0.0417
安閑恬静,41,0.2561
阿衡之佐,35,-0.2143
愛屋及烏,35,-0.2143
愛及屋烏,35,-0.0429
哀毀骨立,37,-0.2027
安楽浄土,31,-0.2097
哀矜懲創,49,0.1939
愛月撤灯,38,-0.1316
按図索駿,43,0.3140
按部就班,42,0.0476
悪婦破家,42,-0.0476
安心立命,23,0.1522
相碁井目,31,-0.3387
愛執染着,45,-0.0556
阿諛追従,40,0.0000
阿諛迎合,35,-0.1571
蛙鳴蝉噪,57,0.1140
阿附迎合,30,-0.1000
阿鼻地獄,42,0.1190
阿鼻叫喚,40,0.0500
悪鬼羅刹,47,0.0106
按兵不動,31,0.0484
合縁奇縁,44,0.2273
愛多憎生,39,-0.1923
阿世曲学,27,0.0185
唖然失笑,38,-0.0526
鴉雀無声,46,-0.2826
安寧秩序,37,-0.0135
安穏無事,42,0.0238
安車蒲輪,42,0.4048
晏子之御,30,0.1667
黯然銷魂,61,-0.1230
暗送秋波,40,-0.2000
阿修羅道,50,0.2400
悪魔調伏,53,-0.1981
安宅正路,31,0.3065
暗澹冥濛,55,0.0273
暗中飛躍,47,0.3085
暗闘反目,40,-0.4750
哀悼痛惜,43,0.0814
愛別離苦,48,0.0000
悪木盗泉,35,0.0143
握髪吐哺,42,-0.1667
悪人正機,34,0.2647
悪酔強酒,43,-0.0349
曖昧模糊,56,0.0000
阿吽二字,23,-0.2391
青息吐息,34,0.0294
悪衣悪食,37,-0.0135
哀哀父母,27,-0.3148
悪事千里,29,-0.2931
悪逆非道,42,0.0476
悪逆無道,46,0.0870
悪因悪果,36,-0.0556
暗中模索,42,0.0238
悪口雑言,35,-0.0143
悪戦苦闘,51,0.1667
哀訴嘆願,54,0.2963
暗黒時代,40,-0.3250
韻鏡十年,46,-0.6087
陰徳恩賜,51,0.0686
引錐刺股,36,0.0556
一往直前,27,0.4630
以鼠為璞,42,0.3810
因果関係,37,0.2027
威風堂堂,40,0.1000
一日一善,18,0.8333
一路邁進,43,0.4302
允文允武,20,0.3000
飲鴆止渇,42,-0.1667
引縄批根,36,0.1389
印象批評,37,0.1757
飲至策勲,46,0.1957
異類無礙,59,0.1610
衣履弊穿,46,0.1304
渭浜漁父,40,-0.2500
倚馬七紙,32,-0.1250
猗頓之富,40,-0.0750
意到筆随,45,0.0111
乙夜之覧,30,0.7333
鷸蚌之争,43,-0.6628
一瓢一箪,34,0.3824
一筆勾消,27,0.3519
一髪千鈞,30,0.3667
一登竜門,31,0.3065
一徳一心,21,-0.1190
一朝之患,28,0.3929
一朝之忿,25,0.2600
一治一乱,17,0.3235
一短一長,22,0.2273
一措一画,21,0.2619
一箭双雕,36,0.4722
一銭一厘,25,0.2200
一世木鐸,31,0.9516
一世風靡,34,0.8529
一世之雄,22,0.7273
一炊之夢,26,0.6154
一水盈盈,25,0.6600
一心発起,24,0.6667
一心一徳,21,0.9286
一将万骨,23,0.4565
一笑千金,23,0.2826
一種一瓶,27,0.3148
一紙半銭,30,0.5667
一士諤諤,36,0.8056
一糸一毫,19,0.6579
一切有情,23,0.6739
一狐之腋,26,0.5385
一壺千金,24,0.2500
一顧傾城,45,0.2111
一闔一闢,41,0.5244
一蹶不振,34,0.1765
一薫一蕕,34,0.3824
一琴一鶴,37,0.6892
一虚一実,21,0.2619
一丘之貉,23,0.7609
一裘一葛,27,0.3889
一丘一壑,24,0.9167
一簣之功,28,-0.0357
一割之利,24,0.2083
一縷千鈞,33,0.2879
一了百了,11,0.3182
一竜一猪,24,0.5000
一遊一予,19,-0.0789
一夜検校,31,0.5000
一文不通,20,0.7500
一問一答,25,0.4600
一望千頃,27,0.4630
一人当千,12,0.4167
一日不食,18,0.6667
一時流行,27,0.2778
一入再入,12,0.3333
一日之長,17,0.6176
一日三秋,17,0.6765
一字千金,18,0.5000
一言芳恩,26,0.5385
一元描写,22,0.4545
一行三昧,19,0.5526
一栄一辱,22,0.5000
一韻到底,37,0.1757
一飲一啄,25,0.3800
韋駄天走,35,-0.2714
衣帯中賛,36,0.2778
遺簪墜屨,68,-0.0147
以身殉利,28,0.2143
渭樹江雲,46,-0.1087
為虎傅翼,47,0.2872
異国情緒,44,0.1364
韋弦之佩,29,-0.2241
衣錦之栄,35,-0.0429
衣錦尚絅,41,0.0854
伊尹負鼎,32,0.4063
帷幄上奏,35,-0.2143
一本調子,24,0.3333
一得一失,18,0.0556
一家団欒,40,0.7750
一攫千金,35,0.0143
一獲千金,29,0.1207
一路平安,25,0.1400
一大決心,15,0.4333
一言一句,14,0.2143
医食同源,34,0.1765
已己巳己,12,0.0000
意識朦朧,69,0.1377
一死報国,28,0.5000
隠晦曲折,38,-0.3421
因果因縁,35,0.3571
因果覿面,45,0.2556
飲河満腹,45,0.0778
殷鑑不遠,51,-0.0686
因機説法,44,0.0455
婬虐暴戻,42,-0.0714
一所不住,20,0.3500
一新更始,29,0.2586
一心精進,31,0.6935
一酔千日,19,0.0263
一寸光陰,21,0.7857
一寸丹心,12,0.4167
一盛一衰,25,0.3800
一挙両失,22,0.1818
一暴十寒,30,0.3333
一触即発,31,0.3065
一生不犯,16,0.4375
一唱三嘆,29,0.5345
衣鉢相伝,34,-0.0588
意馬心猿,40,-0.0750
以肉去蟻,34,0.6471
以毒制毒,30,0.2333
意到随筆,45,0.0111
一片氷心,15,0.3000
一碧万頃,30,0.3667
一筆抹殺,32,0.4063
一筆啓上,27,0.0926
溢美溢悪,46,-0.0217
一飯之恩,28,0.3214
一飯千金,25,0.2200
一敗塗地,31,0.2742
一徹無垢,37,0.2838
一斗百編,26,0.8462
一刀三礼,12,0.6667
一天万乗,17,0.6765
一天四海,20,0.7000
一点一画,19,0.3421
一徹短慮,43,0.4535
慇懃丁重,42,-0.3571
慇懃無礼,49,-0.2959
咽喉之地,31,-0.2742
淫祠邪教,40,-0.0250
因循姑息,36,0.1111
因循苟且,33,-0.0455
因循守旧,29,-0.1552
因小失大,17,-0.2059
陰森凄幽,42,-0.0952
一擲千金,30,0.1000
一定不変,22,0.4545
一朝有事,27,0.2778
一朝富貴,37,0.4459
一超直入,24,0.0000
一知半解,27,0.6111
一張一弛,19,0.1316
一致団結,29,0.5000
一致協力,21,0.0238
飲灰洗胃,36,-0.0833
葦末之巣,34,-0.1471
意在言外,31,-0.3710
為虎添翼,46,0.2826
異国情調,45,0.1667
衣香襟影,48,0.3750
夷険一節,33,0.2576
郁郁青青,34,-0.0588
一笑一顰,39,0.8333
一觴一詠,32,0.3125
一宿一飯,26,0.5000
一瀉千里,29,0.0517
一視同仁,23,0.0652
一子相伝,19,0.5526
一死七生,14,0.2857
隠忍自重,36,-0.2222
陰謀詭計,49,-0.0918
引喩失義,34,0.2941
陰陽五行,32,-0.3750
陰陽和合,37,-0.2568
移木之信,28,-0.1071
以貌取人,28,-0.2143
以暴易暴,42,0.3095
以弁飾知,31,0.3387
韋編三絶,40,-0.0750
異聞奇譚,52,0.1731
畏怖嫌厭,44,0.2273
緯武経文,39,-0.4231
威風凛々,36,-0.1667
威風凛然,45,0.1667
遺風残香,44,-0.2273
移風易俗,37,-0.0946
萎靡沈滞,52,-0.0769
萎靡因循,49,-0.1327
夷蛮戎狄,31,-0.0484
一旦緩急,30,0.5667
倚門之望,33,-0.0152
衣錦還郷,48,0.1458
以卵投石,24,0.0833
異類異形,48,-0.1250
異類中行,38,-0.3684
異路同帰,40,-0.1250
陰々滅々,30,-0.2333
飲水思源,37,0.0676
隠姓埋名,38,-0.2895
陰徳陽報,51,0.0294
一言一行,15,0.3000
一芸一能,20,0.5000
一行知識,34,0.8235
以魚駆蠅,48,0.5000
異曲同工,26,-0.4615
委曲求全,26,-0.1154
以杞包瓜,22,0.0909
意先筆後,40,-0.0750
逸事奇聞,42,0.0714
一殺多生,23,0.1522
一切衆生,23,0.4130
一顧万両,31,-0.0484
一口両舌,16,0.5625
一件落着,32,0.6250
一虚一盈,23,0.3696
一球入魂,28,0.5357
一饋十起,34,0.1176
一気呵成,22,0.4545
一牛鳴地,25,0.5000
一往一来,17,0.3235
一月三舟,13,0.4231
一円一帯,17,0.7941
一栄一落,24,0.5833
一意奮闘,48,0.5625
一望際涯,37,0.4459
一別以来,19,0.3947
一物一景,22,0.5909
一病息災,29,0.3621
一罰百戒,28,0.1786
一能一芸,20,0.3000
一念発心,22,0.2273
一日千里,15,0.5667
一読三嘆,32,0.4375
一団和気,21,0.4048
異体同心,28,-0.3929
衣食礼節,36,0.3333
以升量石,25,0.2200
衣装道楽,44,0.2500
意匠惨澹,46,0.1522
意趣卓逸,48,-0.1042
一意攻苦,30,0.3000
異端邪説,47,0.0319
一諾千金,28,0.1429
一族郎党,31,0.4032
一新紀元,27,0.0926
一場春夢,35,0.4714
一上一下,8,0.2500
一樹百穫,42,0.5238
一字褒貶,34,0.6176
一字不説,25,0.7400
意気阻喪,39,-0.0128
意気衝天,38,-0.2368
一竿風月,23,0.1957
一家眷族,33,0.4697
一路順風,35,0.3286
一六勝負,26,0.6154
一労永逸,25,0.6200
一蓮托生,26,0.0769
一粒万倍,25,0.3800
一利一害,19,0.5526
一葉知秋,31,0.3065
一夜十起,21,0.5000
一文半銭,24,0.8333
一目十行,14,0.4286
一毛不抜,16,0.5625
一味徒党,29,0.5000
位階褫奪,48,0.2500
萎縮震慄,57,0.0088
衣繍夜行,37,-0.1216
異端邪宗,41,-0.1829
衣帯不解,34,0.2059
一字半句,17,0.3235
意気自如,31,-0.3387
意気昂然,39,-0.0128
一味同心,19,0.1842
一味爽涼,31,0.5323
一枚看板,26,0.4231
一木難支,28,0.4286
一木一草,16,0.7500
遺臭万載,42,-0.1905
意趣遺恨,53,-0.1038
石部金吉,30,0.0000
意思表示,35,-0.3571
意志薄弱,47,0.0106
易往易行,30,-0.1000
医鬱排悶,59,-0.0254
意気軒昂,37,-0.1486
衣冠束帯,33,0.1970
遺憾千万,38,-0.6842
一望無垠,33,0.3788
唯唯諾諾,54,0.1852
以夷制夷,24,0.1667
異域之鬼,35,-0.1857
以耳代目,20,0.0500
一体分身,19,0.3947
意思疎通,45,-0.0333
意志堅固,38,-0.1579
一五一十,7,0.0714
意中之人,23,-0.7174
意識過剰,55,-0.1182
移山倒海,34,0.0588
衣冠盛事,35,0.1286
移花接木,34,-0.2647
因果応報,34,0.2941
一切合切,17,0.3824
一挙一動,23,0.4565
一挙両得,28,0.4643
一騎当千,28,-0.1071
一攫千金,35,0.0143
一陽来復,32,0.4375
一言居士,19,0.1842
一目瞭然,35,0.6429
一望千里,22,0.2273
一言半句,18,0.2778
一衣帯水,22,0.3182
意気揚揚,43,0.0349
意気投合,33,-0.2879
意気消沈,37,-0.1486
一朝一夕,17,-0.1471
意味深長,40,-0.1500
一石二鳥,19,0.7105
一世一代,12,0.3333
一心不乱,16,0.5625
一刀両断,20,0.8500
一長一短,22,0.5909
一喜一憂,29,0.5345
一網打尽,26,0.1154
一部始終,31,0.4355
一心同体,18,0.5556
一進一退,24,0.3333
一所懸命,37,0.4459
一念発起,28,0.5000
一国一城,20,0.5000
一日千秋,17,0.6765
一字一句,13,0.2692
一期一会,20,0.1000
一意専心,27,0.0926
一生懸命,34,0.5294
一刻千金,20,0.4000
異口同音,29,-0.0517
